id;Time;Post1;Post2;Difference;Frequency;Amplitude;Duration
1945717;1571816164117;4;2;-8357.32;9356.77;0.50;1.41
1945769;1571816164213;4;2;-8651.12;9356.71;0.81;3.77
1945770;1571816164213;4;1;16917.76;9356.71;0.81;3.77
1945771;1571816164213;2;1;25568.46;9356.70;17.94;5.50
1945778;1571816164213;4;2;-8678.10;9356.70;1.41;4.30
1945916;1571816164405;4;2;-8669.10;9356.73;0.50;3.18
1945928;1571816164405;2;1;26036.13;9356.69;14.14;0.71
1946371;1571816165365;2;1;25856.26;9356.69;15.37;5.02
1946372;1571816165365;2;1;26033.13;9356.70;15.51;4.46
1946421;1571816165461;2;1;25877.24;9356.68;14.14;1.68
1946457;1571816165557;4;2;-8753.05;9356.72;0.97;4.07
1946458;1571816165557;4;1;17106.63;9356.72;0.97;4.07
1946459;1571816165557;2;1;25859.25;9356.67;17.83;5.36
1946466;1571816165557;4;2;-8860.97;9356.70;0.81;4.89
1946467;1571816165557;4;1;16992.71;9356.70;0.81;4.89
1946468;1571816165557;2;1;25853.26;9356.67;17.72;5.39
1946502;1571816165653;2;1;25865.25;9356.69;16.68;5.20
1946508;1571816165653;2;1;25871.25;9356.67;16.68;5.32
1946552;1571816165749;2;1;25865.25;9356.65;16.31;5.44
1946566;1571816165749;2;1;25874.24;9356.69;16.56;5.34
1946605;1571816165845;2;1;25865.25;9356.68;17.94;5.32
1946615;1571816165845;2;1;25859.25;9356.64;17.94;5.50
1946641;1571816165941;4;2;-8798.02;9356.71;0.97;4.68
1946646;1571816165941;4;2;-8702.08;9356.72;0.81;4.33
1946896;1571816166709;2;1;25868.25;9356.70;16.18;5.42
1946906;1571816166709;2;1;25913.22;9356.72;15.78;5.04
1947024;1571816166997;2;1;25877.24;9356.72;16.44;5.16
1947025;1571816166997;2;1;25868.25;9356.71;16.93;5.45
1947095;1571816167189;4;2;-8974.89;9356.74;2.11;5.07
1947096;1571816167189;4;1;17004.70;9356.74;2.11;5.07
1947097;1571816167189;4;3;-625.42;9356.74;2.11;5.07
1947104;1571816167189;4;2;-8765.04;9356.72;2.11;4.87
1947105;1571816167189;4;1;17127.62;9356.72;2.11;4.87
1947106;1571816167189;4;3;-508.50;9356.72;2.11;4.87
1947129;1571816167285;4;2;-8875.96;9356.58;8.83;5.64
1947130;1571816167285;4;1;16974.72;9356.58;8.83;5.64
1947131;1571816167285;4;3;-742.34;9356.58;8.83;5.64
1947138;1571816167285;4;2;-8863.97;9356.65;11.24;5.42
1947139;1571816167285;4;1;16992.71;9356.65;11.24;5.42
1947140;1571816167285;4;3;-1275.97;9356.65;11.24;5.42
1947148;1571816167297;4;2;-8872.96;9356.64;6.02;5.55
1947149;1571816167297;4;1;16971.73;9356.64;6.02;5.55
1947150;1571816167297;2;1;25844.27;9356.56;21.61;5.64
1947152;1571816167297;4;2;-8866.97;9356.63;6.35;5.55
1947153;1571816167297;4;1;16971.73;9356.63;6.35;5.55
1947154;1571816167297;2;1;25838.27;9356.53;22.41;5.70
1947157;1571816167309;4;2;-8899.95;9356.71;0.33;3.92
1947176;1571816167345;2;1;25952.19;9356.72;18.55;4.92
1947178;1571816167345;2;1;26033.13;9356.72;19.12;4.96
1947179;1571816167357;4;2;-8887.95;9356.66;5.49;5.49
1947180;1571816167357;4;1;16992.71;9356.66;5.49;5.49
1947181;1571816167357;2;1;25880.24;9356.70;3.35;5.40
1947182;1571816167357;4;2;-8917.93;9356.70;2.75;5.41
1947183;1571816167357;4;1;16992.71;9356.70;2.75;5.41
1947184;1571816167357;2;1;25910.22;9356.72;1.70;5.20
1947185;1571816167369;4;2;-8848.98;9356.72;2.14;5.25
1947186;1571816167369;4;1;17013.70;9356.72;2.14;5.25
1947187;1571816167369;2;1;25862.25;9356.67;20.58;5.50
1947188;1571816167369;4;2;-8881.96;9356.66;4.91;5.42
1947189;1571816167369;4;1;16989.71;9356.66;4.91;5.42
